"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Buning A.T.D.C.; Vidal I.; Valera F.","Buning, Alex T. de Cock (60351321200); Vidal, Ivan (15125120200); Valera, Francisco (15124978700)","60351321200; 15125120200; 15124978700","Architecting Multi-Cluster Layer-2 Connectivity for Cloud-Native Network Slicing","2026","Future Internet","18","1","39","","","0","10.3390/fi18010039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028561020&doi=10.3390%2Ffi18010039&partnerID=40&md5=a5859e25f83cae300631161b7238ad5a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028561020"
"Kondrashev V.A.; Denisov S.A.","Kondrashev, V.A. (57199644416); Denisov, S.A. (57208320100)","57199644416; 57208320100","System Interface of Scientific Services of a Digital Platform for Multiscale Modeling","2021","Russian Microelectronics","50","8","","638","643","1","10.1134/S1063739721080023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123784372&doi=10.1134%2FS1063739721080023&partnerID=40&md5=63b828767ca1c2d76233f4901d7b508a","Article","Final","","Scopus","2-s2.0-85123784372"
"Le V.-C.; Yoo M.","Le, Van-Cuong (57193897942); Yoo, Myungsik (55984448800)","57193897942; 55984448800","An Automated Testing Framework for Container-Based Network Services","2021","Journal of Korean Institute of Communications and Information Sciences","46","9","","1497","1506","0","10.7840/kics.2021.46.9.1497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189372157&doi=10.7840%2Fkics.2021.46.9.1497&partnerID=40&md5=33136494080ea6590200ad1d1dcfa39e","Article","Final","","Scopus","2-s2.0-85189372157"
"Peng K.; Liao T.; Ren M.; Hu Y.; Wu L.; Hu M.; Jiang H.","Peng, Kai (49962095200); Liao, Tongxin (57825727100); Ren, Mingyuan (58764823600); Hu, Yi (57669983700); Wu, Liangliang (60158729100); Hu, Menglan (59930795500); Jiang, Hongbo (55234704200)","49962095200; 57825727100; 58764823600; 57669983700; 60158729100; 59930795500; 55234704200","Symmetric Orchestration Under Service Mesh Paradigm: Empowering Massive Online Applications in Edge Clouds","2026","IEEE Transactions on Mobile Computing","25","3","","4300","4316","3","10.1109/TMC.2025.3624628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019927140&doi=10.1109%2FTMC.2025.3624628&partnerID=40&md5=962432fc4dc016aac9286ca9f6a554de","Article","Final","","Scopus","2-s2.0-105019927140"
"Dermentzis I.; Koukis G.; Tsaoussidis V.","Dermentzis, Ioannis (60205816200); Koukis, Georgios (57808335900); Tsaoussidis, Vassilis (6701778481)","60205816200; 57808335900; 6701778481","Trade-Offs in Kubernetes Security and Energy Consumption","2026","Urban Science","10","2","81","","","0","10.3390/urbansci10020081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031447188&doi=10.3390%2Furbansci10020081&partnerID=40&md5=d7f7f1d254bb4788ec8088bd3f09fe8f","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031447188"
"Lai C.-M.; Chang T.-W.; Yang C.-T.","Lai, Chun-Ming (57158058600); Chang, Ting-Wei (58203520400); Yang, Chao-Tung (57192676751)","57158058600; 58203520400; 57192676751","An online and highly-scalable streaming platform for filtering trolls with transfer learning","2023","Journal of Supercomputing","79","15","","16664","16687","1","10.1007/s11227-023-05312-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153948925&doi=10.1007%2Fs11227-023-05312-1&partnerID=40&md5=bb177b47813a5b5d25886eb5c85608f0","Article","Final","","Scopus","2-s2.0-85153948925"
"Shi H.; Zhang X.; Wu P.; Chen J.; Zhang Y.","Shi, Haoyang (58666122400); Zhang, Xing (55827359800); Wu, Peixuan (58664914300); Chen, Jingkai (58665518700); Zhang, Yufei (60396116700)","58666122400; 55827359800; 58664914300; 58665518700; 60396116700","ComEdge: Cloud-Native Platform for Integrated Computing and Communication in Satellite–Terrestrial Network","2023","Electronics (Switzerland)","12","20","4252","","","3","10.3390/electronics12204252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174890638&doi=10.3390%2Felectronics12204252&partnerID=40&md5=26c62d31f7183997f505adb588846593","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174890638"
"Goethals T.; De Turck F.; Volckaert B.","Goethals, Tom (57202304192); De Turck, Filip (6701710921); Volckaert, Bruno (6507089696)","57202304192; 6701710921; 6507089696","Near real-time optimization of fog service placement for responsive edge computing","2020","Journal of Cloud Computing","9","1","34","","","28","10.1186/s13677-020-00180-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086592480&doi=10.1186%2Fs13677-020-00180-z&partnerID=40&md5=2beedd77763c3ab62f837b261fe84342","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85086592480"
"Chen H.; Chen P.; Yu G.; Li X.; He Z.","Chen, Hongyang (57940581500); Chen, Pengfei (55490244700); Yu, Guangba (57211137948); Li, Xiaoyun (57214827013); He, Zilong (57219851639)","57940581500; 55490244700; 57211137948; 57214827013; 57219851639","MicroFI: Non-Intrusive and Prioritized Request-Level Fault Injection for Microservice Applications","2024","IEEE Transactions on Dependable and Secure Computing","21","5","","4921","4938","8","10.1109/TDSC.2024.3363902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187269989&doi=10.1109%2FTDSC.2024.3363902&partnerID=40&md5=f950786bec43ae319954925ce65a7086","Article","Final","","Scopus","2-s2.0-85187269989"
"Yu G.; Chen P.; Zheng Z.","Yu, Guangba (57211137948); Chen, Pengfei (55490244700); Zheng, Zibin (25224189400)","57211137948; 55490244700; 25224189400","Microscaler: Cost-Effective Scaling for Microservice Applications in the Cloud With an Online Learning Approach","2022","IEEE Transactions on Cloud Computing","10","2","","1100","1116","67","10.1109/TCC.2020.2985352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132333533&doi=10.1109%2FTCC.2020.2985352&partnerID=40&md5=7f50cbf6d3387ea172e33041a67b93cd","Article","Final","","Scopus","2-s2.0-85132333533"
"Detti A.; Funari L.","Detti, Andrea (6602789368); Funari, Ludovico (57217679452)","6602789368; 57217679452","Critical Limitations of the Least Outstanding Request Load Balancing Policy in Service Meshes for Large-Scale Microservice Applications","2025","IEEE Transactions on Network and Service Management","22","6","","5452","5463","1","10.1109/TNSM.2025.3593870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012142082&doi=10.1109%2FTNSM.2025.3593870&partnerID=40&md5=481a2ee663a3ad8f800357b0f5549eac","Article","Final","","Scopus","2-s2.0-105012142082"
"Martínez L.O.; Gutierrez R.; Cernuzzi L.","Martínez, Lucas O. (58810716900); Gutierrez, Raúl (58810486900); Cernuzzi, Luca (7801512554)","58810716900; 58810486900; 7801512554","On the Measurement of io_uring Performance: a Strategy and Experience in the Envoy Service Mesh","2024","CLEI Eletronic Journal (CLEIej)","27","2","","","","2","10.19153/cleiej.27.2.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200586714&doi=10.19153%2Fcleiej.27.2.3&partnerID=40&md5=e18a919f212c939f60948d232ee38d64","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85200586714"
"Samani F.S.; Stadler R.","Samani, Forough Shahab (57205649847); Stadler, Rolf (56235534700)","57205649847; 56235534700","A Framework for Dynamically Meeting Performance Objectives on a Service Mesh","2024","IEEE Transactions on Network and Service Management","21","6","","5992","6007","1","10.1109/TNSM.2024.3434328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199569083&doi=10.1109%2FTNSM.2024.3434328&partnerID=40&md5=74223f62ca4d6d6e68a5f59ce880b106","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85199569083"
"Chen Y.; Fernandes E.; Adams B.; Hassan A.E.","Chen, Yihao (58554150600); Fernandes, Eduardo (37123675100); Adams, Bram (15134994200); Hassan, Ahmed E. (7402686972)","58554150600; 37123675100; 15134994200; 7402686972","On practitioners’ concerns when adopting service mesh frameworks","2023","Empirical Software Engineering","28","5","113","","","9","10.1007/s10664-023-10348-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169043083&doi=10.1007%2Fs10664-023-10348-1&partnerID=40&md5=9235cc2c7ae1ad4ae7c31bcd94025624","Article","Final","","Scopus","2-s2.0-85169043083"
"Pallewatta S.; Kostakos V.; Buyya R.","Pallewatta, Samodha (57202956438); Kostakos, Vassilis (6508135447); Buyya, Rajkumar (57194845546)","57202956438; 6508135447; 57194845546","Placement of Microservices-based IoT Applications in Fog Computing: A Taxonomy and Future Directions","2023","ACM Computing Surveys","55","14 S","321","","","89","10.1145/3592598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166627654&doi=10.1145%2F3592598&partnerID=40&md5=0d3172a26ae0ff429e43513ac003951e","Article","Final","","Scopus","2-s2.0-85166627654"
"Hu Y.; Hu J.; Yang Y.; Hu M.; Peng K.; Zheng T.; Cai C.; Xiong Z.","Hu, Yi (57669983700); Hu, Junhui (60047243300); Yang, Yifei (60393246000); Hu, Menglan (59930795500); Peng, Kai (49962095200); Zheng, Tianyue (57218604742); Cai, Chao (7202874054); Xiong, Zehui (57201881045)","57669983700; 60047243300; 60393246000; 59930795500; 49962095200; 57218604742; 7202874054; 57201881045","Energy-aware Service Mesh Deployment and Online Request Routing in Edge: a Hierarchical Deep Reinforcement Learning Approach","2026","IEEE Transactions on Mobile Computing","","","","","","0","10.1109/TMC.2026.3674203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033469912&doi=10.1109%2FTMC.2026.3674203&partnerID=40&md5=b4f1c00faf7de843ca6ca84d5f8afba8","Article","Article in press","","Scopus","2-s2.0-105033469912"
"Nsouli A.; El-Hajj W.; Mourad A.","Nsouli, Ahmad (57497483200); El-Hajj, Wassim (21833644200); Mourad, Azzam (9275987400)","57497483200; 21833644200; 9275987400","Reinforcement learning based scheme for on-demand vehicular fog formation","2023","Vehicular Communications","40","","100571","","","6","10.1016/j.vehcom.2023.100571","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147701668&doi=10.1016%2Fj.vehcom.2023.100571&partnerID=40&md5=0b13ba04146cae508646617065d0a706","Article","Final","","Scopus","2-s2.0-85147701668"
"Singh S.; Muntean C.H.; Gupta S.","Singh, Shubham (59394660400); Muntean, Cristina Hava (6602582964); Gupta, Shaguna (58537715300)","59394660400; 6602582964; 58537715300","Resilient microservices: an investigation into Istio effectiveness in Kubernetes","2026","Cluster Computing","29","1","27","","","1","10.1007/s10586-025-05750-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021471097&doi=10.1007%2Fs10586-025-05750-x&partnerID=40&md5=ceff1828d92bb7d7c06d3d28380c7afd","Article","Final","","Scopus","2-s2.0-105021471097"
"Choi W.; Ahn J.; Yoo Y.; Niu Z.; Yang G.; Yoo C.","Choi, Wonmi (59316406000); Ahn, Juyoung (59316545700); Yoo, Yeonho (57221232573); Niu, Zhixiong (57191093847); Yang, Gyeongsik (57190761123); Yoo, Chuck (7201746401)","59316406000; 59316545700; 57221232573; 57191093847; 57190761123; 7201746401","Unveiling Kubernetes CNI: An In-Depth Analysis of Networking Performance and Resource Efficiency","2025","Journal of Korean Institute of Communications and Information Sciences","50","7","","1085","1099","0","10.7840/kics.2025.50.7.1085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013605116&doi=10.7840%2Fkics.2025.50.7.1085&partnerID=40&md5=e8a3cdd05f68e3c28e791321158f93f0","Article","Final","","Scopus","2-s2.0-105013605116"
"Kravchuk A.; Onai M.","Kravchuk, Arkadii (59401095800); Onai, Mykola (57204924611)","59401095800; 57204924611","DEVELOPING INFORMATION TECHNOLOGY FOR EVALUATING AND ENHANCING APPLICATION-LAYER DDOS ATTACK DETECTION METHODS","2024","Radioelectronic and Computer Systems","2024","3(111)","","132","155","0","10.32620/REKS.2024.3.09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208481865&doi=10.32620%2FREKS.2024.3.09&partnerID=40&md5=c78bf33ee45d326898db501b09c62568","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208481865"
"Sanchez-Gallegos D.D.; Gonzalez-Compean J.L.; Carretero J.; Marin-Castro H.M.; Tchernykh A.; Montella R.","Sanchez-Gallegos, Dante D. (57204689763); Gonzalez-Compean, J.L. (57213190221); Carretero, Jesus (7101919482); Marin-Castro, Heidy M. (23473691900); Tchernykh, Andrei (57217740092); Montella, Raffaele (9235980600)","57204689763; 57213190221; 7101919482; 23473691900; 57217740092; 9235980600","PuzzleMesh: A Puzzle Model to Build Mesh of Agnostic Services for Edge-Fog-Cloud","2023","IEEE Transactions on Services Computing","16","2","","1334","1345","8","10.1109/TSC.2022.3175057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132508182&doi=10.1109%2FTSC.2022.3175057&partnerID=40&md5=3087cca631beb49a8705468864833a04","Article","Final","","Scopus","2-s2.0-85132508182"
"Larsson L.; Tärneberg W.; Klein C.; Elmroth E.; Kihl M.","Larsson, Lars (35226477000); Tärneberg, William (56703495200); Klein, Cristian (57193956111); Elmroth, Erik (6603647425); Kihl, Maria (6701782286)","35226477000; 56703495200; 57193956111; 6603647425; 6701782286","Impact of etcd deployment on Kubernetes, Istio, and application performance","2020","Software - Practice and Experience","50","10","","1986","2007","40","10.1002/spe.2885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089109897&doi=10.1002%2Fspe.2885&partnerID=40&md5=9fda589695e6528ec92093390cdf0f0d","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85089109897"
"Yilma G.M.; Yousaf Z.F.; Sciancalepore V.; Costa-Perez X.","Yilma, Girma M. (57211814370); Yousaf, Zarrar F. (24438683700); Sciancalepore, Vincenzo (55822580000); Costa-Perez, Xavier (11939775200)","57211814370; 24438683700; 55822580000; 11939775200","Benchmarking open source NFV MANO systems: OSM and ONAP","2020","Computer Communications","161","","","86","98","57","10.1016/j.comcom.2020.07.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088369614&doi=10.1016%2Fj.comcom.2020.07.013&partnerID=40&md5=ebe7a413f18b520f0fe9b08011051795","Article","Final","","Scopus","2-s2.0-85088369614"
"Detti A.; Favale A.","Detti, Andrea (6602789368); Favale, Alessandro (59565088700)","6602789368; 59565088700","Cost-Effective Cloud-Edge Elasticity for Microservice Applications","2026","IEEE Transactions on Network and Service Management","23","","","239","251","0","10.1109/TNSM.2025.3627155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020703720&doi=10.1109%2FTNSM.2025.3627155&partnerID=40&md5=b9ebe929c40e48ebc1b6613bdef56e00","Article","Final","","Scopus","2-s2.0-105020703720"
"Dakić V.; Redžepagić J.; Bašić M.; Žgrablić L.","Dakić, Vedran (57213589010); Redžepagić, Jasmin (56941879400); Bašić, Matej (58130717700); Žgrablić, Luka (58130541200)","57213589010; 56941879400; 58130717700; 58130541200","Performance and Latency Efficiency Evaluation of Kubernetes Container Network Interfaces for Built-In and Custom Tuned Profiles","2024","Electronics (Switzerland)","13","19","3972","","","10","10.3390/electronics13193972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206316510&doi=10.3390%2Felectronics13193972&partnerID=40&md5=1a3daa5c73cc95a97dc4f1ece45f42ae","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206316510"
"Wang S.; Guo Y.; Liu X.; Zhou A.","Wang, Shangguang (36185971000); Guo, Yan (57193349885); Liu, Xiao (52365658400); Zhou, Ao (55414096000)","36185971000; 57193349885; 52365658400; 55414096000","Service Routing in Multi-Tier Edge Computing: A Matching Game Approach","2023","IEEE Journal on Selected Areas in Communications","41","3","","835","844","11","10.1109/JSAC.2022.3229378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146253598&doi=10.1109%2FJSAC.2022.3229378&partnerID=40&md5=f54dbe923e13e0e6c27b0b8bce9973a3","Article","Final","","Scopus","2-s2.0-85146253598"
"Lovas R.; Rigo E.; Unyi D.; Gyires-Toth B.","Lovas, Robert (22433533300); Rigo, Erno (57343975400); Unyi, Daniel (57239188500); Gyires-Toth, Balint (57202306607)","22433533300; 57343975400; 57239188500; 57202306607","Experiences with Deep Learning Enhanced Steering Mechanisms for Debugging of Fundamental Cloud Services","2023","IEEE Access","11","","","26403","26418","4","10.1109/ACCESS.2023.3243201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148471808&doi=10.1109%2FACCESS.2023.3243201&partnerID=40&md5=1a4ecbcc26358876f2e35433fd7fb1a6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85148471808"
"Grewal K.; Godfrey B.; Hsu J.","Grewal, Karuna (57609595500); Godfrey, Brighten (55663257800); Hsu, Justin (55785613000)","57609595500; 55663257800; 55785613000","SafeTree: Expressive Tree Policies for Microservices","2025","Proceedings of the ACM on Programming Languages","9","OOPSLA2","","2144","2170","0","10.1145/3763127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018670173&doi=10.1145%2F3763127&partnerID=40&md5=4e3cd845085cefef00c6cec4214de5d3","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018670173"
"Mohammadi A.; Nikaein N.","Mohammadi, Alireza (58735627000); Nikaein, Navid (12139968700)","58735627000; 12139968700","Athena: An Intelligent Multi-x Cloud Native Network Operator","2024","IEEE Journal on Selected Areas in Communications","42","2","","460","472","12","10.1109/JSAC.2023.3336172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179065647&doi=10.1109%2FJSAC.2023.3336172&partnerID=40&md5=f576435f20f96460abca47ff0d2489da","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85179065647"
"Pedroso D.F.; Almeida L.; Pulcinelli L.E.G.; Aisawa W.A.A.; Dutra I.; Bruschi S.M.","Pedroso, Diego Frazatto (57217014548); Almeida, Luis (35727555700); Pulcinelli, Lucas Eduardo Gulka (58743081300); Aisawa, William Akihiro Alves (59763244800); Dutra, Ines (55950018900); Bruschi, Sarita Mazzini (8947191600)","57217014548; 35727555700; 58743081300; 59763244800; 55950018900; 8947191600","Anomaly Detection and Root Cause Analysis in Cloud-Native Environments Using Large Language Models and Bayesian Networks","2025","IEEE Access","13","","","77550","77564","8","10.1109/ACCESS.2025.3565220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004049947&doi=10.1109%2FACCESS.2025.3565220&partnerID=40&md5=899f5721e97e2d45b843e697f851e9a2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105004049947"
"Dumitru-Guzu O.-M.; Călin V.; Kooij R.","Dumitru-Guzu, Oana-Mihaela (58093926500); Călin, Vlădeanu (24450913200); Kooij, Robert (6701735618)","58093926500; 24450913200; 6701735618","A Novel Framework for Cross-Cluster Scaling in Cloud-Native 5G NextGen Core","2024","Future Internet","16","9","325","","","2","10.3390/fi16090325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205218572&doi=10.3390%2Ffi16090325&partnerID=40&md5=926a133cf24be6fd2fac915780a70600","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85205218572"
"Huang H.-Y.; Fanjiang Y.-Y.; Hung C.-H.; Tsai H.-Y.; Lin B.-H.","Huang, Hsin-Yu (57202580689); Fanjiang, Yong-Yi (7801687483); Hung, Chi-Huang (24779422000); Tsai, Hsing-Yu (58309549700); Lin, Bing-Hong (58309349600)","57202580689; 7801687483; 24779422000; 58309549700; 58309349600","Evaluation of a Smart Intercom Microservice System Based on the Cloud of Things","2023","Electronics (Switzerland)","12","11","2406","","","1","10.3390/electronics12112406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161495522&doi=10.3390%2Felectronics12112406&partnerID=40&md5=189800b28d15141e4d6cac8ccba604a8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85161495522"
"Bhattacharya R.; Gao Y.; Wood T.","Bhattacharya, Ratnadeep (57215330833); Gao, Yuan (59426925400); Wood, Timothy (36026983100)","57215330833; 59426925400; 36026983100","Dynamically Balancing Load with Overload Control for Microservices","2024","ACM Transactions on Autonomous and Adaptive Systems","19","4","","","","3","10.1145/3676167","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210324344&doi=10.1145%2F3676167&partnerID=40&md5=a44c29ed4b345effe2d03084f963b064","Article","Final","","Scopus","2-s2.0-85210324344"
