Title,Year,Source,Database
Location Based Indoor and Outdoor Lightweight Activity Recognition System,2022,Electronics (Switzerland),Scopus
Full-stack vulnerability analysis of the cloud-native platform,2023,Computers and Security,Scopus
Efficient service mesh traffic management for cloud-native applications,2026,PLOS ONE,Scopus
Enhancing Microservice Security Through Vulnerability-Driven Trust in the Service Mesh Architecture,2025,Sensors,Scopus
Verikube: Automatic and Efficient Verification for Container Network Policies,2022,IEICE Transactions on Information and Systems,Scopus
A Hybrid Model for Real-Time Docker Container Threat Detection and Vulnerability Analysis,2023,International Journal of Intelligent Systems and Applications in Engineering,Scopus
Cybermycelium: a reference architecture for domain-driven distributed big data systems,2024,Frontiers in Big Data,Scopus
A Dynamic Management and Integration Framework for Models in Landslide Early Warning System,2023,ISPRS International Journal of Geo-Information,Scopus
MicroFog: A framework for scalable placement of microservices-based IoT applications in federated Fog environments,2024,Journal of Systems and Software,Scopus
AI Anomaly Detection for Cloudified Mobile Core Architectures,2023,IEEE Transactions on Network and Service Management,Scopus
Calculation of utility of network services based on state manifolds,2022,Computer Networks,Scopus
Architecting Multi-Cluster Layer-2 Connectivity for Cloud-Native Network Slicing,2026,Future Internet,Scopus
System Interface of Scientific Services of a Digital Platform for Multiscale Modeling,2021,Russian Microelectronics,Scopus
An Automated Testing Framework for Container-Based Network Services,2021,Journal of Korean Institute of Communications and Information Sciences,Scopus
Trade-Offs in Kubernetes Security and Energy Consumption,2026,Urban Science,Scopus
An online and highly-scalable streaming platform for filtering trolls with transfer learning,2023,Journal of Supercomputing,Scopus
ComEdge: Cloud-Native Platform for Integrated Computing and Communication in Satellite–Terrestrial Network,2023,Electronics (Switzerland),Scopus
Near real-time optimization of fog service placement for responsive edge computing,2020,Journal of Cloud Computing,Scopus
On the Measurement of io_uring Performance: a Strategy and Experience in the Envoy Service Mesh,2024,CLEI Eletronic Journal (CLEIej),Scopus
On practitioners’ concerns when adopting service mesh frameworks,2023,Empirical Software Engineering,Scopus
Placement of Microservices-based IoT Applications in Fog Computing: A Taxonomy and Future Directions,2023,ACM Computing Surveys,Scopus
Reinforcement learning based scheme for on-demand vehicular fog formation,2023,Vehicular Communications,Scopus
Resilient microservices: an investigation into Istio effectiveness in Kubernetes,2026,Cluster Computing,Scopus
Unveiling Kubernetes CNI: An In-Depth Analysis of Networking Performance and Resource Efficiency,2025,Journal of Korean Institute of Communications and Information Sciences,Scopus
DEVELOPING INFORMATION TECHNOLOGY FOR EVALUATING AND ENHANCING APPLICATION-LAYER DDOS ATTACK DETECTION METHODS,2024,Radioelectronic and Computer Systems,Scopus
"Impact of etcd deployment on Kubernetes, Istio, and application performance",2020,Software - Practice and Experience,Scopus
Benchmarking open source NFV MANO systems: OSM and ONAP,2020,Computer Communications,Scopus
Performance and Latency Efficiency Evaluation of Kubernetes Container Network Interfaces for Built-In and Custom Tuned Profiles,2024,Electronics (Switzerland),Scopus
Experiences with Deep Learning Enhanced Steering Mechanisms for Debugging of Fundamental Cloud Services,2023,IEEE Access,Scopus
SafeTree: Expressive Tree Policies for Microservices,2025,Proceedings of the ACM on Programming Languages,Scopus
Athena: An Intelligent Multi-x Cloud Native Network Operator,2024,IEEE Journal on Selected Areas in Communications,Scopus
A Novel Framework for Cross-Cluster Scaling in Cloud-Native 5G NextGen Core,2024,Future Internet,Scopus
Evaluation of a Smart Intercom Microservice System Based on the Cloud of Things,2023,Electronics (Switzerland),Scopus
Dynamically Balancing Load with Overload Control for Microservices,2024,ACM Transactions on Autonomous and Adaptive Systems,Scopus
Technical Report: Performance Comparison of Service Mesh Frameworks: the MTLS Test Case,2024,Unknown,arXiv
QONNECT: A QoS-Aware Orchestration System for Distributed Kubernetes Clusters,2025,Unknown,arXiv
Enabling Network Policy Enforcement in Service Meshes,2025,Unknown,arXiv
RetryGuard: Preventing Self-Inflicted Retry Storms in Cloud Microservices Applications,2025,Unknown,arXiv
Towards Secure Management of Edge-Cloud IoT Microservices using Policy as Code,2024,Unknown,arXiv
XLB: A High Performance Layer-7 Load Balancer for Microservices using eBPF-based In-kernel Interposition,2026,Unknown,arXiv
CARISMA: CAR-Integrated Service Mesh Architecture,2024,Unknown,arXiv
iDynamics: A Configurable Emulation Framework for Evaluating Microservice Scheduling Policies under Controllable Cloud-Edge Dynamics,2025,Unknown,arXiv
Security Issues and Challenges in Service Meshes – An Extended Study,2020,Unknown,arXiv
"Service Mesh: Architectures, Applications, and Implementations",2024,Unknown,arXiv
Towards Soft Circuit Breaking in Service Meshes via Application-agnostic Caching,2021,Unknown,arXiv
Model-based Reinforcement Learning for Service Mesh Fault Resiliency in a Web Application-level,2021,Unknown,arXiv
Sidecars on the Central Lane: Impact of Network Proxies on Microservices,2023,Unknown,arXiv
Advanced Strategies for Precise and Transparent Debugging of Performance Issues in In-Memory Data Store-Based Microservices,2023,Unknown,arXiv
HeteroPod: XPU-Accelerated Infrastructure Offloading for Commodity Cloud-Native Applications,2025,Unknown,arXiv
MANATEE: A DevOps Platform for xApp Lifecycle Management and Testing in Open RAN,2026,Unknown,arXiv
Towards integrating hardware Data Plane acceleration in Network Functions Virtualization,2022,Unknown,arXiv
Remote Procedure Call as a Managed System Service,2023,Unknown,arXiv
"Proceedings of the 6th International Workshop on Edge Systems, Analytics and Networking",2023,"Proceedings of the 6th International Workshop on Edge Systems, Analytics and Networking",ACM Digital Library
Proceedings of the 1st Workshop on High Availability and Observability of Cloud Systems,2021,Proceedings of the 1st Workshop on High Availability and Observability of Cloud Systems,ACM Digital Library
Proceedings of the 16th ACM/SPEC International Conference on Performance Engineering,2025,Proceedings of the 16th ACM/SPEC International Conference on Performance Engineering,ACM Digital Library
Proceedings of the 2022 ACM/SPEC on International Conference on Performance Engineering,2022,Proceedings of the 2022 ACM/SPEC on International Conference on Performance Engineering,ACM Digital Library
Proceedings of the 2025 Cloud Computing Security Workshop,2025,Proceedings of the 2025 Cloud Computing Security Workshop,ACM Digital Library
Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,2025,Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,ACM Digital Library
Proceedings of the 2023 ACM Symposium on Cloud Computing,2023,Proceedings of the 2023 ACM Symposium on Cloud Computing,ACM Digital Library
Proceedings of the 18th European Workshop on Systems Security,2025,Proceedings of the 18th European Workshop on Systems Security,ACM Digital Library
Proceedings of the ACM SIGCOMM 2024 Conference,2024,Proceedings of the ACM SIGCOMM 2024 Conference,ACM Digital Library
Proceedings of the 18th ACM International Conference on Distributed and Event-based Systems,2024,Proceedings of the 18th ACM International Conference on Distributed and Event-based Systems,ACM Digital Library
Proceedings of the 25th International Middleware Conference,2024,Proceedings of the 25th International Middleware Conference,ACM Digital Library
2022 18th International Conference on Network and Service Management (CNSM),2022,2022 18th International Conference on Network and Service Management (CNSM),ACM Digital Library
Proceedings of the 17th International Conference on emerging Networking EXperiments and Technologies,2021,Proceedings of the 17th International Conference on emerging Networking EXperiments and Technologies,ACM Digital Library
Proceedings of the 12th ACM International Conference on Systems and Storage,2019,Proceedings of the 12th ACM International Conference on Systems and Storage,ACM Digital Library
"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",2025,"Proceedings of the 30th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 1",ACM Digital Library
Proceedings of the 6th International Conference on Sustainable Information Engineering and Technology,2021,Proceedings of the 6th International Conference on Sustainable Information Engineering and Technology,ACM Digital Library
Proceedings of the ACM SIGCOMM 2025 Conference,2025,Proceedings of the ACM SIGCOMM 2025 Conference,ACM Digital Library
Proceedings of the Symposium on Architectures for Networking and Communications Systems,2021,Proceedings of the Symposium on Architectures for Networking and Communications Systems,ACM Digital Library
"Proceedings of the 17th International Conference on Availability, Reliability and Security",2022,"Proceedings of the 17th International Conference on Availability, Reliability and Security",ACM Digital Library
"Proceedings of the 2023 3rd International Conference on Big Data, Artificial Intelligence and Risk Management",2023,"Proceedings of the 2023 3rd International Conference on Big Data, Artificial Intelligence and Risk Management",ACM Digital Library
Proceedings of the Twentieth ACM Workshop on Hot Topics in Networks,2021,Proceedings of the Twentieth ACM Workshop on Hot Topics in Networks,ACM Digital Library
Proceedings of the 22nd ACM Workshop on Hot Topics in Networks,2023,Proceedings of the 22nd ACM Workshop on Hot Topics in Networks,ACM Digital Library
Proceedings of the ACM SIGCOMM 2025 Posters and Demos,2025,Proceedings of the ACM SIGCOMM 2025 Posters and Demos,ACM Digital Library
Proceedings of the 23rd ACM Workshop on Hot Topics in Networks,2024,Proceedings of the 23rd ACM Workshop on Hot Topics in Networks,ACM Digital Library
"Proceedings of the 3rd Workshop on SErverless Systems, Applications and MEthodologies",2025,"Proceedings of the 3rd Workshop on SErverless Systems, Applications and MEthodologies",ACM Digital Library
Proceedings of the 24th European Conference on Pattern Languages of Programs,2019,Proceedings of the 24th European Conference on Pattern Languages of Programs,ACM Digital Library
"Proceedings of the 5th workshop on Advanced tools, programming languages, and PLatforms for Implementing and Evaluating algorithms for Distributed systems",2023,"Proceedings of the 5th workshop on Advanced tools, programming languages, and PLatforms for Implementing and Evaluating algorithms for Distributed systems",ACM Digital Library
Proceedings of the 2025 ACM Symposium on Cloud Computing,2025,Proceedings of the 2025 ACM Symposium on Cloud Computing,ACM Digital Library
Proceedings of the 2025 Workshop on Re-design Industrial Control Systems with Security,2025,Proceedings of the 2025 Workshop on Re-design Industrial Control Systems with Security,ACM Digital Library
Proceedings of the 2024 12th International Conference on Communications and Broadband Networking,2024,Proceedings of the 2024 12th International Conference on Communications and Broadband Networking,ACM Digital Library
Companion of the 2023 ACM/SPEC International Conference on Performance Engineering,2023,Companion of the 2023 ACM/SPEC International Conference on Performance Engineering,ACM Digital Library
Proceedings of the 2024 ACM Symposium on Cloud Computing,2024,Proceedings of the 2024 ACM Symposium on Cloud Computing,ACM Digital Library
