"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Anti-patterns Detection in Microservice-Based Software Architectures Using Graph Analysis","F. A. Mobarakeh; F. S. Aliee","Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran; Faculty of Computer Science and Engineering, Shahid Beheshti University, Tehran, Iran",2025 9th Iranian Conference on Advances in Enterprise Architecture (ICAEA),"22 Dec 2025","2025","","","1","8","Microservice architectures promise scalability, flexibility, and rapid delivery, yet their distributed nature makes them susceptible to architectural anti-patterns that erode maintainability, reliability, and performance. This paper presents a graph-based, runtime methodology for detecting such issues in systems orchestrated with Kubernetes and observed via the Istio service mesh. Leveraging mesh telemetry, we automatically construct a Service Dependency Graph (SDG) that captures inter-service communication and operational context; network-analysis metrics and structural queries are then applied to surface problematic architectural structures. The approach scales to large clusters, runs continuously, and requires neither static code inspection nor intrusive changes to application deployments. By turning production telemetry into actionable architectural signals, it enables early remediation and continuous governance of microservice systems.","","979-8-3315-7988-3","10.1109/ICAEA69058.2025.11301540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11301540","Microservices;Microservice Anti-patterns;Dynamic Analysis;Telemetry Data;Architecture Smell","Measurement;Runtime;Software architecture;Scalability;Microservice architectures;Production;Inspection;Turning;Telemetry;Reliability","","","","30","IEEE","22 Dec 2025","11-13 Nov. 2025","11-13 Nov. 2025","IEEE","IEEE Conferences"
"BZTEF: A Blockchain-Based Zero Trust Enforcement Framework for Cloud-Native Environments","A.Sangeetha; P. Vishaliney; K. Gowrisha; N. Manikandan; S. Lokuliyana","Department of Information Technology, Fuculty of Computing, SLIIT Northern Uni, Jaffna, Sri Lanka; Department of Information Technology, Fuculty of Computing, SLIIT Northern Uni, Jaffna, Sri Lanka; Department of Information Technology, Fuculty of Computing, SLIIT Northern Uni, Jaffna, Sri Lanka; Department of Data Science and Business Systems, School of Computing, College of Engineering and Technology, SRM Institute of Science and Technology, India; Department of Computer Systems Engineering, Faculty of Computing, SLIIT, Sri Lanka",2025 IEEE 19th International Conference on Industrial and Information Systems (ICIIS),"26 Mar 2026","2026","19","","316","321","The rapid adoption of cloud-native technologies has transformed enterprise computing by promoting scalability, flexibility, and resilience through microservices and container orchestration platforms such as Kubernetes. Nevertheless, this decentralization has also widened the attacker surface in cyberspace, thus the conventional perimeter-based security models are no longer applicable to the current multi-cloud application. To overcome these obstacles, the paper presents a decentralized security framework, Blockchain-Based Zero Trust Enforcement Framework (BZTEF) that combines the immutability of blockchains with the idea of constant verification of the Zero Trust Architecture (ZTA). The system includes four modules, which are interdependent: Decentralized Identity Management (DID) to validate self-sovereign identity, Smart Contract-Based Access Control (SCAC) to conduct dynamically controlled, Tamper-Proof authorizations, Audit and Compliance Ledger (ACL) to provide immutable auditability and regulatory transparency, and Service Mesh Integration (SMI) to provide secure microservice communication. Kubernetes, Istio and Hyperledger Fabric were used to design a simulated prototype in which synthetic workloads were used to test performance, scalability, and audit integrity. It was shown that the average access latency was 327 ms, audit throughput was in the range of 80 tx/s, and the resource overhead was less than 25%, which confirms the possibility of implementing blockchain-based Zero Trust enforcement. The research proves that proposed framework is remarkably effective in improving auditability, policy consistency and resiliency without affecting scalability, providing a valuable insight into how organizations implementing Zero Trust in decentralized settings can do so.","2690-3423","979-8-3315-7036-1","10.1109/ICIIS69028.2026.11450647","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11450647","Blockchain;Zero Trust Architecture;Cloud-Native Security;Identity Management;Smart Contracts;Access Control;Microservices;Immutable Ledger;Cybersecurity","Privacy;Scalability;Smart contracts;Microservice architectures;Prototypes;Threat assessment;Fabrics;Zero Trust;Blockchains;Resilience","","","","13","IEEE","26 Mar 2026","16-17 Jan. 2026","16-17 Jan. 2026","IEEE","IEEE Conferences"
"UAV-Mesh: A Graph-Based Decentralized Service Mesh Framework for UAV Swarms","C. Liu; H. Yu; N. Chen; B. Shen; H. Cai","Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China; Shanghai International Studies University, Shanghai, China; Shanghai Jiao Tong University, Shanghai, China",2025 IEEE International Conference on Web Services (ICWS),"30 Sep 2025","2025","","","538","544","Unmanned aerial vehicle (UAV) swarms are useful for mobile and collaborative applications due to their flexibility, scalability, and reliability. However, managing their communication and collaboration in complex environments is challenging. Service mesh has demonstrated excellent performance in managing communication between microservices in cloudnative environments. However, its centralized and static network structure design hinders its adaptability to dynamic topologies, increases vulnerability to single points of failure, and exacerbates resource constraints when applied to UAV swarms. To address these challenges, we propose UAV-Mesh, a graph-based decentralized service mesh framework for UAV swarms. It models the swarm as a dynamic graph for enabling the data plane to adapt to changing topologies, mitigates the risk of single points of failure through a decentralized control plane, and addresses resource constraints by optimizing consensus mechanism and algorithm. UAV Mesh offers a decentralized perspective for the application of service mesh in UAV swarms. Through experiments and analysis involving varying numbers of UAVs in a complex scenario, we demonstrate the effectiveness and efficiency of UAV Mesh in managing and controlling UAV services.","2836-3868","979-8-3315-5563-4","10.1109/ICWS67624.2025.00075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11169619","UAV-as-a-Service;UAV Swarm;Service Mesh;Decentralized Framework;Service Information Consensus","Cloud computing;Adaptation models;Heuristic algorithms;Scalability;Collaboration;Autonomous aerial vehicles;Dynamic scheduling;Topology;Resource management;Vehicle dynamics","","1","","23","IEEE","30 Sep 2025","7-12 July 2025","7-12 July 2025","IEEE","IEEE Conferences"
"Zero Trust Security Model Implementation in Microservices Architectures Using Identity Federation","R. N. Rajendran; D. K. Rai; S. K. Anumula; S. Agrawal","Unisys Corporation, Technical Delivery Manger, Delivery Management, Cloud Infra and Apps Services (US&C), Albany, NY; Manager Oracle Cloud Technology HBG, Colorado Springs, USA; IBM Corporation, Sr Enterprise and Business Architect, Detroit, MI, USA; Synechron, Charlotte, USA","2025 2nd International Conference on Recent Trends in Electrical, Electronics and Computing Technologies (ICRTEECT)","26 Mar 2026","2025","","","1","6","The rapid speed of growth in the number of microservices has radically transformed typical applications, making them lighter and more scaled along with autonomously deployed. This architectural change has, however, had its own serious security threats as well. The former models of security based on perimeter are no longer workable in the highly distributed workloads that are now considered part of the modern day and are generally short-lived and interrelated. The applicability of the Zero Trust Security Model is reviewed in the existing paper, and federated identity management is applied to human users and workloads across workload computing vessels. The framework that is offered incorporates continuous authentication, contextual authorization, and enforcement at the service-mesh level to form end-to-end trust. It uses standard industry interoperability, e.g., OpenID Connect, OpenAuth 2.0 token exchange capabilities, and SPIFFE-SPIRE-based workload identities to offer standardized and secure cross-service boundary communication. A test and evaluation is a sign of an empowered security position exhibited by a small amount of attack surface, uniformity in policy implementation, and effectiveness in cross-domain implementation. The results bring federated identity as a primary component of the Zero Trust, not merely in terms of authentication and authorization but in order to correspond to the current phenomenon of DevSecOps. Such integration will include automatic, scalable, and reliable implementation of microservices in addition to the observance of compliance requirements. The article consists of a systematic and realistic roadmap of how companies that would be interested in applying the concepts of Zero Trust in cloud-native operational systems could accomplish it and keep their interoperability, as well as their correspondence with the regulating standard.","","979-8-3315-8172-5","10.1109/ICRTEECT67512.2025.11448625","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11448625","Zero Trust Security;Microservices Architecture;Identity Federation;Service Mesh;Continuous Authentication","Authorization;Industries;Systematics;Microservice architectures;Authentication;Computer architecture;Federated identity;Zero Trust;Standards;Interoperability","","","","19","IEEE","26 Mar 2026","30-31 Oct. 2025","30-31 Oct. 2025","IEEE","IEEE Conferences"
"Research on Evaluation Model of Microservice Transformation Based on Business Consistency","N. Li; Y. Liu; M. Lei; X. Ma; Q. Guo","State Grid Digital Technology Holding Co., Ltd., Xicheng District, Beijing, China; State Grid Digital Technology Holding Co., Ltd., Xicheng District, Beijing, China; Blockchain Application Technology Laboratory of State Grid Corporation of China, Beijing, China; Blockchain Application Technology Laboratory of State Grid Corporation of China, Beijing, China; Blockchain Application Technology Laboratory of State Grid Corporation of China, Beijing, China","2025 4th International Conference on Artificial Intelligence, Internet and Digital Economy (ICAID)","17 Jun 2025","2025","","","31","37","When enterprises transition to microservices architecture, ensuring business integrity and service interaction consistency is crucial. However, traditional approaches lack systematic evaluation of governance strategies and fault tolerance mechanisms. This paper proposes a business consistency-oriented evaluation framework integrating three core modules: business contract mapping, service stub validation, and environment simulation testing. By defining service interaction rules through YAML contracts, we implement automated traffic management testing using Istio. Network latency and service downtime are injected through Chaos Mesh to verify circuit breaking accuracy and recovery efficiency. Experimental results demonstrate that our framework effectively safeguards business process integrity, ensures service interaction accuracy, and significantly enhances fault recovery capabilities. This research provides quantifiable assessment tools and reproducible implementation schemes for microservice transitions.","","979-8-3315-1066-4","10.1109/ICAID65275.2025.11034540","State Grid Corporation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11034540","Microservices architecture;business consistency;contract testing;service transformation;fault tolerance mechanisms","Fault tolerance;Accuracy;Systematics;System performance;Fault tolerant systems;Microservice architectures;Internet;Contracts;Business;Testing","","1","","18","IEEE","17 Jun 2025","25-27 April 2025","25-27 April 2025","IEEE","IEEE Conferences"
"Unlocking Kubernetes Networking Efficiency: Exploring Data Processing Units for Offloading and Enhancing Container Network Interfaces","T. P. Nagendra; R. Hemavathy","Department of Computer Science and Engineering, R. V. College of Engineering, Bengaluru, India; Department of Computer Science and Engineering, R. V. College of Engineering, Bengaluru, India",2023 4th IEEE Global Conference for Advancement in Technology (GCAT),"19 Dec 2023","2023","","","1","7","This paper delves into the realm of Kubernetes networking, exploring the pivotal role of Container Network Interface (CNI) plugins in orchestrating containerized applications. The core of the paper focuses on CNI plugins, encompassing the basics of Kubernetes networking, CNI architecture, and an in-depth analysis of prominent plugins such as Cilium, Flannel, Project Calico, SR-IOV CNI, and Weave Net. Leveraging insights from past performance studies, the paper navigates the advantages and limitations of these plugins. The exploration extends to Data Processing Units (DPUs), showcasing their potential to revolutionize Kubernetes networking. Through case studies and use cases, the paper unveils the innovative utilization of DPUs for offloading networking tasks. Considering the offloading capabilities inherent in DPUs, we showcase different CNIs for specific Kubernetes cluster requirements.","","979-8-3503-0525-8","10.1109/GCAT59970.2023.10353542","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10353542","Kubernetes;Container Network Interface;CNI;Cilium;SR-IOV;Data Processing Unit;DPU;SmartNIC;Offload","Surveys;Technological innovation;Navigation;System performance;Decision making;Containers;Data processing","","5","","20","IEEE","19 Dec 2023","6-8 Oct. 2023","6-8 Oct. 2023","IEEE","IEEE Conferences"
"Evaluating 5G Core Service Mesh Encapsulations in Cloud Deployments","T. O. Atalay; A. Famili; A. Stavrou","Department of Electrical and Computer Engineering, Virginia Tech, USA; WayWave, Inc, Arlington, VA, USA; Department of Electrical and Computer Engineering, Virginia Tech, USA",2024 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN),"27 Dec 2024","2024","","","1","7","The evolution of mobile networks to be deployed as Virtual Network Functions (VNFs) on Commercial off-the-Shelf (COTS) hardware marks a significant advancement in the management of the Fifth Generation (5G) core network. This shift towards a software-based transformation enhances the flexibility and scalability of 5G networks, which is crucial as deployments increasingly transition to public cloud infrastructures such as Amazon Web Services (AWS). Within this software-defined landscape, various mechanisms and techniques can be leveraged to facilitate the seamless management and communication of cellular core VNFs. As Mobile Virtual Network Operators (MVNOs) start to invest in such cloud-based cellular core deployments, it is crucial to cultivate an understanding regarding the implications surrounding this transition. To that end, this paper introduces 5G Network Encapsulation and Control Telemetry Augmentation Resource (5G-NECTAR), a versatile measurement framework designed to encapsulate 5G core VNFs within a custom service mesh. Utilizing tools such as OpenTelemetry and Jaeger, our framework encapsulates 5G core traffic with side-car proxies, enabling detailed assessments of cloud deployments across various HTTP versions. Through comprehensive performance evaluations, we demonstrate how our design can be employed to analyze control plane overhead and the associated costs of service mesh encapsulation in cloud-based 5G core networks. Furthermore, our evaluations in AWS, provide valuable operational experience regarding cloud-based 5G core networks over different HTTP versions.","2832-2231","979-8-3503-8053-8","10.1109/NFV-SDN61811.2024.10807506","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10807506","5G core;service mesh;cloud computing","Encapsulation;Cloud computing;5G mobile communication;Web services;Scalability;HTTP;Robustness;Telemetry;Software defined networking;Testing","","","","21","IEEE","27 Dec 2024","5-7 Nov. 2024","5-7 Nov. 2024","IEEE","IEEE Conferences"
"An Efficient Traffic Steering for Cloud-Native Service Function Chaining","B. Dab; I. Fajjari; M. Rohon; C. Auboin; A. Diquélou","Orange-Labs, Châtillon, France; Orange-Labs, Châtillon, France; Orange-Labs, Châtillon, France; Orange-Labs, Châtillon, France; Orange-Labs, Châtillon, France","2020 23rd Conference on Innovation in Clouds, Internet and Networks and Workshops (ICIN)","9 Apr 2020","2020","","","71","78","5G stakeholders make every effort to efficiently handle the unprecedented services and traffic demand. Particularly, Telco operators aim to deploy a cost effective network services within their next generation mobile networks. By leveraging cloud-native architectures, the stringent 5G services requirements can be satisfied while reducing both CAPEX and OPEX. Concretely, the adoption of microservice software design enables the disaggregation of Telco applications into small independent cloud-native network functions. Theses microservices, deployed as containers, are lightweight and perform in an independent way. However, in spite of its various benefits, microservice architecture raises new challenges to deal with in the network function virtualization (NFV) ecosystem. Typically, the service function chaining (SFC) of cloud-native network functions becomes extremely complex and error-prone due to the high number of microservices. In this paper, we address the problem of 5G traffic steering for cloud-native SFC in microservice based NFV ecosystem. Specifically, we envision and deploy an SDNless SFC framework ensuring efficient traffic steering between cloud-native network functions. Besides, we propose an optimized network-aware load balancing algorithm capable of carrying efficiently the traffic while considering the underlying infrastructure network state. Based on robust experiments conducted in the deployed Kubernetes-based platform, the results show the efficiency of our strategy in terms of deployment time and network performance.","2472-8144","978-1-7281-5127-4","10.1109/ICIN48450.2020.9059340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9059340","Kubernetes;microservices;containers;cloud-native functions;service function chaining;service mesh","Cloud computing;Computer architecture;Containers;5G mobile communication;Ecosystems;Routing;Network function virtualization","","16","","17","IEEE","9 Apr 2020","24-27 Feb. 2020","24-27 Feb. 2020","IEEE","IEEE Conferences"
"Adaptive and Application-agnostic Caching in Service Meshes for Resilient Cloud Applications","L. Larsson; W. Tärneberg; C. Klein; M. Kihl; E. Elmroth","Department of Computing Science, Umeå University, Sweden; Department of Electrical and Information Technology, Lund University, Sweden; Department of Computing Science, Umeå University, Sweden; Department of Electrical and Information Technology, Lund University, Sweden; Department of Computing Science, Umeå University, Sweden",2021 IEEE 7th International Conference on Network Softwarization (NetSoft),"26 Jul 2021","2021","","","176","180","Service meshes factor out code dealing with inter-micro-service communication. The overall resilience of a cloud application is improved if constituent micro-services return stale data, instead of no data at all. This paper proposes and implements application agnostic caching for micro services. While caching is widely employed for serving web service traffic, its usage in inter-micro-service communication is lacking. Micro-services responses are highly dynamic, which requires carefully choosing adaptive time-to-life caching algorithms. Our approach is application agnostic, is cloud native, and supports gRPC. We evaluate our approach and implementation using the micro-service benchmark by Google Cloud called Hipster Shop. Our approach results in caching of about 80% of requests. Results show the feasibility and efficiency of our approach, which encourages implementing caching in service meshes. Additionally, we make the code, experiments, and data publicly available.","2693-9789","978-1-6654-0522-5","10.1109/NetSoft51509.2021.9492576","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9492576","Service-mesh;Containerized network functions;Microservices","Adaptive systems;Web services;Heuristic algorithms;Conferences;Estimation;Adaptive algorithms;Benchmark testing","","4","","16","IEEE","26 Jul 2021","28 June-2 July 2021","28 June-2 July 2021","IEEE","IEEE Conferences"
"DevSecOps in Practice with VMware Tanzu: Build, run, and manage secure multi-cloud apps at scale on Kubernetes with the Tanzu portfolio","P. Pandit; R. Hardt",NA; NA,"DevSecOps in Practice with VMware Tanzu: Build, run, and manage secure multi-cloud apps at scale on Kubernetes with the Tanzu portfolio","","2023","","","","","Modernize your apps, run them in containers on Kubernetes, and understand the business value and the nitty-gritty of the VMware Tanzu portfolio with hands-on instructions Purchase of the print or kindle book includes a free eBook in the PDF formatKey FeaturesGain insights into the key features and capabilities of distinct VMWare Tanzu productsLearn how and when to use the different Tanzu products for common day-1 and day-2 operationsModernize applications deployed on multi-cloud platforms using DevSecOps best practicesBook DescriptionAs Kubernetes (or K8s) becomes more prolific, managing large clusters at scale in a multi-cloud environment becomes more challenging – especially from a developer productivity and operational efficiency point of view. DevSecOps in Practice with VMware Tanzu addresses these challenges by automating the delivery of containerized workloads and controlling multi-cloud Kubernetes operations using Tanzu tools. This comprehensive guide begins with an overview of the VMWare Tanzu platform and discusses its tools for building useful and secure applications using the App Accelerator, Build Service, Catalog service, and API portal. Next, you’ll delve into running those applications efficiently at scale with Tanzu Kubernetes Grid and Tanzu Application Platform. As you advance, you’ll find out how to manage these applications, and control, observe, and connect them using Tanzu Mission Control, Tanzu Observability, and Tanzu Service Mesh. Finally, you’ll explore the architecture, capabilities, features, installation, configuration, implementation, and benefits of these services with the help of examples. By the end of this VMware book, you’ll have gained a thorough understanding of the VMWare Tanzu platform and be able to efficiently articulate and solve real-world business problems.What you will learnBuild apps to run as containers using predefined templatesGenerate secure container images from application source codeBuild secure open source backend services container imagesDeploy and manage a Kubernetes-based private container registryManage a multi-cloud deployable Kubernetes platformDefine a secure path to production for Kubernetes-based applicationsStreamline multi-cloud Kubernetes operations and observabilityConnect containerized apps securely using service meshWho this book is forThis book is for cloud platform engineers and DevOps engineers who want to learn about the operations of tools under the VMware Tanzu umbrella. The book also serves as a useful reference for application developers and solutions architects as well as IT leaders who want to understand how business and security outcomes can be achieved using the tools covered in this book. Prior knowledge of containers and Kubernetes will help you get the most out of this book.","","9781803247410","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162533.pdf&bkn=10162533&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Scalable Policy-as-Code Decision Points for Data Products","M. Brambilla; P. Plebani","Dipartimento di Elettronica Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Dipartimento di Elettronica Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy",2025 IEEE International Conference on Web Services (ICWS),"30 Sep 2025","2025","","","924","930","Data products are emerging as architectural elements of data mesh with the aim of improving data management within organizations. Among the main aspects in the design of a data product is the need to define the policies that regulate its access. These policies concern not only security aspects but, more generally, compliance with regulations (e.g., GDPR, HIPAA) or organizational regulations. Taking advantage of similarities with microservice-based solutions, policy-as-code is also used in the data mesh to regulate access to data products. Following the proposed models for the service mesh which regulates a microservice-based environment, the performance of the Policy Decision Point (PDP) becomes crucial to ensure efficient access to data managed by data products. Since this may require a replication of PDPs, in order to achieve true scalability, each of them will have to take into account only the policies associated with the data products under their responsibilities. This work provides a solution to automate the replication of PDPs and the distribution of policies to be controlled according to an approach that balances policy consistency and system scalability. The work has been validated through an extension of the Kubernetes orchestrator that, based on the information collected from the monitoring system, it is able to define which is the right number of PDPs and which data product, and related policies, should be assigned to each of them. Notably, the policy management is based on a Open Policy Agent (OPA) implementation.","2836-3868","979-8-3315-5563-4","10.1109/ICWS67624.2025.00120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11169653","policy-as-code;scalability;data mesh;authorization;policy;OPA;Kubernetes","Authorization;Web services;Scalability;Microservice architectures;Organizations;Regulation;Data models;Security;Data mesh;Monitoring","","","","18","IEEE","30 Sep 2025","7-12 July 2025","7-12 July 2025","IEEE","IEEE Conferences"
"BLOC: Balancing Load with Overload Control In the Microservices Architecture","R. Bhattacharya; T. Wood","Department of Computer Science, George Washington University; Department of Computer Science, George Washington University",2022 IEEE International Conference on Autonomic Computing and Self-Organizing Systems (ACSOS),"4 Nov 2022","2022","","","91","100","The microservices architecture has become ubiquitous in the cloud environment. It simplifies application development by breaking monolithic applications into manageable micro services that can be developed and deployed independently of the whole. However, the move from a monolithic or simple multi-tier architecture to a distributed microservice ""service mesh"" leads to new challenges due to the more complex application topology.A particular problem when automatically managing the performance of microservices is that since each service component scales up and down independently, it can easily create load imbalance problems on shared backend services accessed by multiple components. Traditional load balancing algorithms were designed for centralized load balancers sitting between a group of clients and a server farm. These algorithms, however, do not port over well to a distributed microservice architecture where load balancers are deployed client-side. In this paper we propose a self managing load balancing system, BLOC, which provides consistent response times to users without using a centralized metadata store or explicit messaging between nodes.We show that different service layers scaling independently can create unacceptably wide response time distributions and long tails, hurting client experience. This is because popular microservice load balancing algorithms, like Least Connection, only use a single component’s view of the backend load to guide decisions. This limited perspective leads to an unevenly balanced system and the potential for incast problems where a large number of frontend components can easily overload a shared backend. BLOC uses overload control approaches like rate limiting, active queue management and backpressure to provide feedback to the load balancers. The load balancers react to this feedback with techniques like backoff and retries. We show that this performs significantly better in solving the incast problem in microservice architectures.Evaluating this framework, we found that BLOC improves the response time distribution range, between the 10th and 90th percentiles, by 2 to 4 times and the tail, 99th percentile, latency by two times.","","978-1-6654-7137-4","10.1109/ACSOS55765.2022.00027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9935022","microservices;loadbalancing;overload control","Limiting;Microservice architectures;Tail;Metadata;Load management;Control systems;User experience","","5","","21","IEEE","4 Nov 2022","19-23 Sept. 2022","19-23 Sept. 2022","IEEE","IEEE Conferences"
"Online Policy Adaptation for Networked Systems using Rollout","F. S. Samani; K. Hammar; R. Stadler","Dept. of Computer Science, KTH Royal Institute of Technology, Sweden; Dept. of Computer Science, KTH Royal Institute of Technology, Sweden; Dept. of Computer Science, KTH Royal Institute of Technology, Sweden",NOMS 2024-2024 IEEE Network Operations and Management Symposium,"2 Jul 2024","2024","","","1","9","Dynamic resource allocation in networked systems is needed to continuously achieve end-to-end management objectives. Recent research has shown that reinforcement learning can achieve near-optimal resource allocation policies for realistic system configurations. However, most current solutions require expensive retraining when changes in the system occur. We address this problem and introduce an efficient method to adapt a given base policy to system changes, e.g., to a change in the service offering. In our approach, we adapt a base control policy using a rollout mechanism, which transforms the base policy into an improved rollout policy. We perform extensive evaluations on a testbed where we run applications on a service mesh based on the Istio and Kubernetes platforms. The experiments provide insights into the performance of different rollout algorithms. We find that our approach produces policies that are equally effective as those obtained by offline retraining. On our testbed, effective policy adaptation takes seconds when using rollout, compared to minutes or hours when using retraining. Our work demonstrates that rollout, which has been applied successfully in other domains, is an effective approach for policy adaptation in networked systems.","2374-9709","979-8-3503-2793-9","10.1109/NOMS59830.2024.10575707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10575707","Performance management;reinforcement learning;service mesh;policy adaptation;rollout;Istio;Kubernetes","Transforms;Reinforcement learning;Dynamic scheduling;Resource management","","","","36","IEEE","2 Jul 2024","6-10 May 2024","6-10 May 2024","IEEE","IEEE Conferences"
"Service Mesh: The Rise of Event-Driven Asynchronous Mesh in Cloud Continuum","S. Montebugnoli; A. Sabbioni; L. Foschini; A. Corradi","University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy; University of Bologna, Bologna, Italy",IT Professional,"18 Feb 2026","2026","28","1","51","58","The proliferation of microservice-based IT applications has increased the complexity of big data processing within any modern cloud application, requiring new strategies for managing, controlling, and accelerating deployments. Service Meshes offer new management support that facilitates control over a very large number of services while separating logic from control specification. Applications becoming more decentralized and deployed across multiple regions in the cloud continuum ask for even more uncoupled and asynchronous interactions to enhance reliability and scalability. Event-driven architectures offer a viable solution; consequently, Event Meshes emerge as a cloud paradigm promoting event-based, asynchronous interactions among services and data. This article compares Service Mesh and Event Mesh approaches, claiming that Event Meshes improve uncoupling and offers asynchronous behavior in distributed systems to optimize performance in traffic management, observability, and security.","1941-045X","","10.1109/MITP.2025.3605101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11399560","","Smart cities;Scalability;Microservice architectures;Process control;Routing;Security;Reliability;Observability;Next generation networking;Big Data applications","","","","20","IEEE","18 Feb 2026","Jan.-Feb. 2026","","IEEE","IEEE Magazines"
"Empirical Benchmarking of a Low-Latency Cloud-Native Testbed for High-Complexity AI-Enabled Network Functions in B5G Edge","A. Yaghoobi; C. -H. Lung","Department of Systems and Computer Engineering, Carleton University, Ottawa, Ontario, Canada; Department of Systems and Computer Engineering, Carleton University, Ottawa, Ontario, Canada",2025 3rd International Conference on Foundation and Large Language Models (FLLM),"19 Feb 2026","2025","","","1325","1332","Software-defined networking (SDN) architectures in edge networks often face limitations due to centralized bottlenecks and rigid Northbound Interfaces (NBIs), hindering scalability and responsiveness. This paper proposes a cloud-native framework that enables decentralized agent communications with machine learning servers for real-time, context-aware clustering of user equipment (UE) at the edge. This facilitates dynamic assignment of service-level priorities for downstream tasks. The framework utilizes cloud-native network functions (CNFs) to deploy edge-native modules that trigger classification services based on contextual metadata. Further, the approach utilizes service mesh technologies to support decentralized agent-model interactions, and Redis publish/subscribe (Pub/Sub) patterns enable event-driven updates without polling or traditional APIs. The architecture reduces latency, minimizes control overhead, and enhances adaptability in multi-slice environments. By integrating graph autoencoders into edge microservices, agents can respond to dynamic user behavior and environmental changes with minimal reliance on centralized controllers. Experimental results show up to 60% reduction in end-to-end response time and 35% reduction in CPU overhead, demonstrating the efficiency of the proposed approach. This work contributes to the development of scalable, intelligent edge networks for beyond 5G (B5G) systems.","","979-8-3315-9409-1","10.1109/FLLM67465.2025.11391144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11391144","Cloud-native network function;Decentralized agents;Context-aware clustering;Redis;Edge intelligence;SDN","5G mobile communication;Scalability;Computer architecture;Real-time systems;Stability analysis;Servers;Time factors;Security;Low latency communication;Software defined networking","","","","21","IEEE","19 Feb 2026","25-28 Nov. 2025","25-28 Nov. 2025","IEEE","IEEE Conferences"
"Automated Canary Analysis for Kubernetes Deployments","V. N. S. Khande; N. V. J. Balaji","Independent Researcher, San Jose, CA; Independent Researcher, San Jose, CA",2025 IEEE Cloud Summit,"13 Aug 2025","2025","","","101","109","When organizations start implementing microservices and the concept of continuous delivery pipeline, especially while using DevOps, deploying becomes a crucial task in which safety is a significant concern. Canary releases have become a profound practice for rolling out new application updates to a limited number of users in an organization to avoid introducing new bugs in the critical production environment. Nonetheless, catching and validating issues during canary rollouts is often an irreversible process prone to mistakes. This technical paper focuses on the concept of Automated Canary Analysis for the implementation of Kubernetes and the role performed by the ACA over Service Mesh, Observability, and Metrics for making efficient deployment decisions. ACA derives performance differences as well as user experience effects between canary and baseline versions through statistical and machine learning algorithms. The study also considers existing open-source tools, namely Kayenta and Flagger, and establishes their capacity to perform automation of progressive delivery. Our results show a reduction in the use of the deployment risk factor while also improving the efficiency of the developers and the overall functionality of the system; therefore, ACA should be considered an important element of modern DevOps.","","979-8-3315-2362-6","10.1109/Cloud-Summit64795.2025.00023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108203","Canary Deployment;Kubernetes;Progressive Delivery;Automated Canary Analysis;DevOps Observability","Schedules;DevOps;Pipelines;Microservice architectures;Organizations;Production;User experience;Software reliability;Safety;Observability","","","","21","IEEE","13 Aug 2025","26-27 June 2025","26-27 June 2025","IEEE","IEEE Conferences"
